,HE_stoch_standard,HE_stoch_strong,MeanEnergyLoss,S125,Zenith,energy,mass
13433,6,3,1.8161589676827063,0.29241316988557026,0.15891583379608276,6.349153245113434,4.0
13434,6,3,1.7837185072075323,0.2921556585796034,0.16192257614181615,6.349153245113434,4.0
13435,6,1,1.6694136337333216,0.40750898322416784,0.2803102095842007,6.418285046413168,4.0
13436,2,1,1.7969420991647214,0.32920242193389626,0.2780511254762996,6.418285046413168,4.0
13437,4,1,1.9117742967677176,0.35673033388615405,0.2769679271752836,6.418285046413168,4.0
13438,3,2,2.0603800083286448,0.36781624465745866,0.2632753856485439,6.418285046413168,4.0
13439,4,1,1.9353545721122536,0.24829036835647192,0.26780270269573014,6.418285046413168,4.0
13440,4,2,1.7801719464847232,0.3455098049989119,0.273253812024854,6.418285046413168,4.0
13441,2,0,1.7835877141094434,0.34694893368346724,0.2728870278778981,6.418285046413168,4.0
13442,3,2,2.0803752598388483,0.2600818960332498,0.27816496276968605,6.418285046413168,4.0
13443,3,2,1.7114916634041082,0.4136258548119592,0.26737768394992045,6.418285046413168,4.0
13444,1,0,1.876132333748452,0.6257838307416481,0.4357530543734849,6.598543670943499,4.0
13445,1,0,1.6819758281277202,0.6625529917228472,0.43792349006697684,6.598543670943499,4.0
13446,1,0,1.7481181905069585,0.6599256774136522,0.43180487050820116,6.598543670943499,4.0
13447,2,1,1.7007023938827426,0.6469576350302368,0.43278292148423114,6.598543670943499,4.0
13448,1,0,1.4906415292386623,0.6223456000313266,0.43402188834862,6.598543670943499,4.0
13449,3,0,1.7539113847237575,0.5926363286776382,0.43182106049949276,6.598543670943499,4.0
13450,1,1,2.2975828987109006,0.7461888524023075,0.4997268872568075,6.799282294937663,4.0
13451,6,1,1.9094291363286868,0.8783378393526138,0.1876763913064492,6.861795655681684,4.0
13452,2,1,1.6881673860327464,0.8982801044057833,0.18950803836410213,6.861795655681684,4.0
13453,1,0,1.8994639212912348,0.8929446699146029,0.1811078799937409,6.861795655681684,4.0
13454,2,1,1.7688191075717417,0.9045911760482452,0.1794159432540443,6.861795655681684,4.0
13455,6,2,1.9060338444582505,1.026104494472932,0.18437168034368856,6.861795655681684,4.0
13456,4,2,1.9294462386724365,0.892208597185506,0.17982020240869367,6.861795655681684,4.0
13457,7,1,1.874684525664229,0.9356412156259788,0.1851651326117847,6.861795655681684,4.0
13458,4,2,2.0466596703838214,0.9709671706892342,0.1903499108094766,6.861795655681684,4.0
13459,7,3,1.9034726040060495,1.0933240916355738,0.10162837948443793,6.95553184764781,4.0
13460,5,0,2.1169241587970085,1.0545108588234529,0.10297712661026148,6.95553184764781,4.0
13461,6,3,2.00758548705895,1.0036777758600595,0.10419901078703475,6.95553184764781,4.0
13462,4,2,2.0282174348005553,1.1178593335219862,0.1084568001199866,6.95553184764781,4.0
