,HE_stoch_standard,HE_stoch_strong,MeanEnergyLoss,S125,Zenith
10278,3,2,1.551820421701603,0.6343862896511925,0.284326826768281
10279,3,1,1.7579267050103873,0.667309699147407,0.2979095416856299
10280,3,0,1.6897495125096327,0.6836783227238028,0.30310648812027097
10281,4,1,1.7607489132739174,0.5921801635954802,0.3009068095802916
10282,2,0,1.505297960398772,0.6277997826668882,0.3050611194833812
10283,5,1,1.8375810537770387,0.620534593258883,0.299348302476647
10284,1,1,1.8734500343882001,0.7286334394427953,0.29821640782493697
10285,5,2,1.7384679300113417,0.7083232528172947,0.3030223874381899
10286,5,1,2.0050314188177265,0.6654558139691842,0.2971844854627679
10287,2,0,1.8549161005054777,0.8961272627516785,0.47423857620686016
10288,5,0,1.8022450131223786,0.9636296284400556,0.372368149148429
10289,2,1,1.77198329532519,0.9195989222342376,0.3699375628463275
10290,5,0,1.9019222363764685,0.9472853848981506,0.3750075848153811
10291,4,3,1.9393489648289668,0.9775846371180603,0.3623425084794172
10292,1,0,1.7631076723658992,0.9380360755072621,0.3738018529059852
10293,6,1,2.380713824053359,1.194986773152399,0.23349446100230242
10294,4,1,2.0977804690552935,1.4180382173269548,0.07345994806095302
10295,7,3,2.1882600024697743,1.4033966030750067,0.0721004227176012
10296,6,2,2.3548268562213535,1.4029446547949984,0.07315717815271583
10297,7,1,2.2454681190908428,1.4354153483546401,0.07588700891775524
10298,4,2,2.122354096738717,1.425969074682924,0.07497648638034837
10299,6,2,2.317091525528386,1.3986305775251697,0.07189207849091428
10300,9,0,2.3988325047977046,1.4141613196900407,0.07318529067101442
10301,7,1,2.3233430833186244,1.3984090032994647,0.06923759443400934
10302,6,2,2.287267506695467,1.4617781934464729,0.24587676078437548
10303,5,1,2.3420578306068887,1.4089136782150673,0.2493219504501889
10304,6,0,2.2127271304259737,1.4181760032874786,0.2477816464159881
10305,5,1,2.133937508971955,1.3928047833908916,0.24476838087720454
10306,4,2,2.26211365602337,1.4898835493899734,0.25160437058587704
10307,6,1,2.3717116306515855,1.4916431479812857,0.2462844835580773
10308,2,1,0.648980828912571,-0.4892668460135594,0.42573568220516966
10309,2,2,0.39792730199804427,-0.22088513179061223,0.3646610184612369
10310,2,1,1.044507587218846,-0.2593839104461235,0.3663629381237614
10311,2,2,1.2089042703932702,-0.35561099827648857,0.38093026518405537
10312,4,2,0.7612608440391017,-0.17293987741249814,0.12497266612303282
10313,3,0,0.8002854138757679,-0.36735739810847434,0.11934103312749089
10314,2,2,0.9395292107811616,-0.16083202145410438,0.1292528126464627
10315,4,1,0.9899703561286709,-0.3615896669828045,0.11823689368975554
10316,5,1,1.3457029819582078,-0.1948933764666836,0.12089049128409712
10317,3,2,1.167626466468739,-0.35183493086190154,0.133014724545502
10318,4,3,0.5916221641078439,-0.32363074577214945,0.11226425115516703
10319,3,3,0.8965105402361644,-0.14913174232657322,0.11780692899862633
10320,3,3,0.4921204721721888,-0.27093279498847744,0.1353245681678268
10321,4,2,1.0317479668585592,-0.30166948229979074,0.1220111966555657
10322,1,1,0.8274395953793823,-0.2331971014731286,0.1273250226414726
10323,2,0,0.9298172218215427,-0.09321946016536307,0.12180852169706924
10324,4,0,0.8841106568242939,-0.29141706143076224,0.12783121044990553
10325,3,3,0.5612826468295431,-0.33147905852621307,0.11497994228168684
10326,4,3,0.834982659882612,-0.0777491768599763,0.13967233387543665
10327,6,1,1.2137340890190311,-0.33360379394467676,0.12467984107916674
10328,1,1,0.8471136134616845,-0.3124888690693055,0.12989655259525534
10329,3,1,0.7304553558525129,-0.21012778352997594,0.1269750657110844
10330,4,1,0.9615234559417555,-0.09376603512483327,0.13130929315298978
10331,4,2,1.2032871618862626,-0.28595034396745733,0.12416586936943075
10332,4,1,1.3577548341561558,0.04389876883921232,0.220771177100767
10333,4,2,1.0569883258567696,0.0017135510908041455,0.22054480026128553
10334,2,1,1.600974974479334,0.009993078006917979,0.2317108899437117
10335,4,2,1.1513187403607934,0.030337693704319123,0.22430065599716764
10336,4,2,0.9503795889948422,0.09049466080240216,0.2212039485558699
10337,2,1,1.2059544778950717,0.060129211003728554,0.22725616362715195
10338,3,1,1.142463271250768,-0.13505500558340294,0.21301983526158752
10339,3,0,1.4787420414056514,0.04251413922745418,0.22562801130489119
10340,5,3,1.4130025354030558,0.17646120067884083,0.3515959869402949
10341,2,0,1.7556761774049368,0.1443295863618119,0.35841160192301125
10342,1,0,1.6870897554512758,0.13630012646618092,0.35422997103855325
10343,3,2,1.465322130989455,0.20823546098699008,0.3482214286847909
10344,2,1,1.3601441278239514,0.18875661482813652,0.35308722156519234
10345,3,0,1.0658392278584674,0.30605849640376714,0.42278015998132235
10346,0,0,1.1186030847343378,0.29368791592610943,0.4209624637373932
10347,4,3,1.4933894725252812,0.6762996030659707,0.25765896501654684
10348,2,2,1.5930378447227418,0.7058191830078409,0.2646180467052712
10349,3,2,1.438783486669756,0.7363150695281662,0.2705008980561807
10350,3,2,1.5896106888412538,0.666935518939141,0.27022946774305945
10351,4,2,1.5273922309248278,0.6672565456497885,0.26069609576683606
10352,3,2,1.606176921166069,0.7256698304384268,0.25533658214429256
10353,3,1,1.4308798584315707,0.5955949247297081,0.25855922013207566
10354,3,2,1.2284247249134805,0.6838990283589963,0.2679232624450494
10355,4,1,1.5442306052958727,0.6668955440063811,0.26115341240207535
10356,3,0,1.4555484882644993,0.7286051303842003,0.26699258398553516
10357,0,0,1.1206544032101604,0.7308622108312481,0.26259453906588615
10358,3,2,1.906781998762965,1.009607857959498,0.3189915157653207
10359,4,2,1.7973693436465896,1.005227180268216,0.3179983980214196
10360,5,2,1.8786357802228075,0.9344282406038098,0.31077147747704537
10361,3,1,1.8155212874703832,0.996929333761809,0.31527548393176064
10362,3,1,1.8829222556241665,1.0123703608105608,0.315545779296599
10363,6,1,1.8078227111312535,1.0129588218190886,0.318759874126493
10364,5,0,1.8968774985521213,1.02836577185884,0.31582108824392163
10365,1,1,1.7713503481984034,1.0116089235974863,0.3207835073180907
10366,5,2,1.7478228910857703,1.0383751610949732,0.31999043058896204
10367,2,1,1.7638580367230534,0.9938245908850005,0.320747318911355
10368,5,1,1.8656875043409245,1.1371333602629186,0.3316980986447664
10369,5,0,1.9566369500236582,1.0992041894917186,0.32906535483681365
10370,1,0,2.019036007804135,1.1416646685762508,0.3332747916394525
10371,4,1,2.025090016842474,1.0946926808811188,0.3264781078118748
10372,2,0,2.375059169125506,1.4322528446925498,0.43824814329497386
10373,1,0,2.5036077766053335,1.6389166375056563,0.4674886724215863
10374,2,1,2.8070363760668817,1.9249200726542064,0.4430200603187311
10375,2,2,0.24896920103817652,-0.5745569917540427,0.2139814939336584
10376,3,1,1.2261730761575664,0.07896893117932849,0.34416526211011833
10377,0,0,1.1943038883958244,0.1201859008872921,0.36022701520723555
10378,2,1,0.9559454731652419,0.10529044487504849,0.347801608555657
10379,2,2,1.277037529119494,0.01213205938763904,0.3426199582574343
10380,2,1,0.7344566584519238,0.06478570370474389,0.3500899963713895
10381,1,1,1.0867269703892284,0.08261804330764602,0.3311881267492396
10382,4,0,1.2437181110062123,0.35324818705973593,0.2567316023787103
10383,2,0,1.7544922707966528,0.43855636382641094,0.2559705608127736
10384,2,1,1.3404471120609123,0.3238196526441092,0.259114326873497
10385,1,1,1.5235453512487283,0.30436378264153413,0.25710723020904247
10386,2,1,1.6633204456729307,0.29584886483009587,0.26151867540045215
10387,3,1,1.434415225405066,0.3586428470208745,0.2637783583231048
10388,1,0,1.572501349375105,0.5667991687438558,0.46380986054522655
10389,3,1,1.7663604531601576,0.7835392242059647,0.43354050035904157
10390,0,0,1.931023233688846,0.7572542430890699,0.4270892738186469
10391,3,1,1.8485274041370294,0.7239444659008925,0.42688676801767267
10392,1,1,2.2785240445834773,0.7768607803923602,0.4758430513654286
10393,2,1,2.004333055352817,0.8854680440712466,0.4756493217879254
10394,2,0,2.08870829811906,0.7914924198757127,0.4861772147591341
10395,3,1,1.9575104619324821,1.4130905505571674,0.13522226593770448
10396,4,0,2.1729778490134155,1.341987573525338,0.13946664223553684
10397,4,1,2.090108938992459,1.349222366703457,0.1401165798844799
10398,6,0,2.1304592832547193,1.3485858529596388,0.13972678380366021
10399,6,2,2.078111384509066,1.3385836338634602,0.1334815568262666
10400,1,0,1.9047324463057331,1.3354922395134725,0.13921584614793892
10401,7,3,2.618865299401145,1.6215688103149226,0.32151135772630335
10402,7,2,2.4936448967222047,1.5496321094872219,0.32536788852061305
10403,11,1,2.9604978903284307,1.996735382424741,0.1544347353115989
10404,7,4,2.8939825391045457,1.9793152899756654,0.15487023668643385
10405,6,1,3.073944581631762,1.9927024824149226,0.15962059182140775
10406,11,1,2.9538092875497965,2.007314716583142,0.1575864476852491
10407,2,2,1.147144435305325,-0.2001713069936435,0.111839783753938
10408,6,3,0.8484076439280676,-0.4170952899253031,0.09918050904441822
10409,1,1,1.0645986493696695,-0.3600228763118789,0.10991338716928967
10410,4,1,0.861798811548043,-0.2044876048019599,0.10837227461193644
10411,5,0,1.1523606282931211,-0.34807722523799134,0.09863164594470275
10412,2,1,1.2341302183801475,-0.17455224393565502,0.10302790005594842
10413,0,0,0.478247954097758,-0.33516022790599287,0.09885215571719863
10414,2,2,1.5645017274325266,-0.257028945280914,0.10626836074517865
10415,3,1,0.9212619128032545,-0.30605315338213046,0.08954660151249039
10416,2,2,0.8374322589186305,-0.11794944267185015,0.10548127215066883
10417,4,0,0.9799487982412544,-0.10615885987209774,0.11032474619957044
10418,6,2,1.4091302738467775,-0.18106898207359068,0.13713223048769496
10419,2,1,1.061836400454511,-0.14714116670539393,0.13867414906883635
10420,4,4,1.335278388286764,-0.04742432109954021,0.12324955358913448
10421,4,0,1.4611725892191787,-0.1662705972620793,0.13613640054920717
10422,6,3,1.2665630719788212,-0.12117858401917256,0.12978036602997234
10423,3,3,1.5974421070138145,-0.10243853040728411,0.13983742450920733
10424,4,1,1.3741902172771452,-0.16658066112166114,0.13843565083076115
10425,2,1,1.2806068421950474,-0.22487929296264844,0.13422815468942106
10426,3,2,1.5317287883683095,0.011373768460055457,0.13146231019257026
10427,2,1,1.4863075820880858,-0.24430499990256882,0.13978361008736107
10428,1,1,1.6563019409522002,-0.04604357259726076,0.14049537697487935
10429,3,2,0.9685706063752934,-0.10589596635310002,0.1381873099848816
10430,2,2,1.5473997302829718,-0.12221027454547251,0.14512010392261132
